label,name,status,error,skill,speed,delay_ms,seed,dt,motor_curve,voltage,moving_speed,flight_s,jump,running,motion_failed,settled,peak_ground_force,peak_torque,limit_excess,camera_yaw_rms,camera_pitch_rms
source,run_v0.8_d5_s102_dt0.00125_curve0_V12.6,FAILED,ValueError('Calibration angular motion is excessive'),run,0.8,5,102,0.00125,False,12.6,,,,,,,,,,,
source,run_v0.8_d5_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,5,103,0.00125,False,12.6,0.33274939462189795,0.0,False,False,False,False,46.72800037899904,0.6,0.0,0.8054220261755829,1.4685536432111783
source,run_v0.8_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,10,101,0.00125,False,12.6,0.34194262497774214,0.0,False,False,False,True,46.47375992227091,0.6,0.0,0.588651955568093,1.6914397700842347
source,run_v0.8_d10_s102_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,10,102,0.00125,False,12.6,0.34188885711416417,0.0,False,False,False,True,46.823087832486706,0.6,0.0,0.4907944300493866,1.7331993592845136
source,run_v0.8_d10_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,10,103,0.00125,False,12.6,0.3409224954789062,0.0,False,False,False,True,47.68006986704628,0.6,0.0,0.4275693036401201,1.6755715052995117
source,run_v0.8_d15_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,15,101,0.00125,False,12.6,0.34039636835902826,0.0,False,False,False,True,47.87356349631397,0.6,0.0,1.1644889869277832,1.5913947698167723
source,run_v0.8_d15_s102_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,15,102,0.00125,False,12.6,0.3409012911724718,0.0,False,False,False,True,49.43689203639685,0.6,0.0,1.086055843505311,1.5340566250848586
source,run_v0.8_d15_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,15,103,0.00125,False,12.6,0.3418287298802603,0.0,False,False,False,True,48.81876362078505,0.6,0.0,1.0148327563296666,1.572986131813166
source,jump_v0.6_d5_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,5,101,0.00125,False,12.6,-0.08077758599069952,0.0,False,False,True,False,76.96195580604355,0.6,0.06610356077430057,219.32132970961297,22.24402221040226
source,jump_v0.6_d5_s102_dt0.00125_curve0_V12.6,FAILED,ValueError('Calibration angular motion is excessive'),jump,0.6,5,102,0.00125,False,12.6,,,,,,,,,,,
source,jump_v0.6_d5_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,5,103,0.00125,False,12.6,-0.09124446674962247,0.0,False,False,True,False,75.38779999421685,0.6,0.06962493881107079,203.9678499821887,27.868432814167456
source,jump_v0.6_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,101,0.00125,False,12.6,-0.022785530932716028,0.0,False,False,False,True,33.461790104301876,0.6,0.0,0.6607712236357033,1.339986830742349
source,jump_v0.6_d10_s102_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,102,0.00125,False,12.6,-0.02240939882819498,0.0,False,False,False,True,31.183897032410275,0.6,0.0,0.526410419430339,1.451414961943255
source,jump_v0.6_d10_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,103,0.00125,False,12.6,-0.02303921964470947,0.0,False,False,False,True,31.23583018731112,0.6,0.0,0.5084029778568705,1.3645187599192827
source,jump_v0.6_d15_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,101,0.00125,False,12.6,-0.01959572043561316,0.0,False,False,False,True,32.9798208606409,0.6,0.0,0.5917104555137535,1.5500600466878416
source,jump_v0.6_d15_s102_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,102,0.00125,False,12.6,-0.019771660774673402,0.0,False,False,False,True,35.48629432151098,0.6,0.0,0.5113153365642028,1.537589449415051
